"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Guia de Início Rápido do Zotero","","","","","http://zotero.org/support/quick_start_guide","","","2017-04-22 23:22:47","2017-04-22 23:22:47","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Bem-vindo(a) ao Zotero!</strong></p><p>Veja o Guia de Início Rápido para aprender a coletar, gerenciar, citar e partilhar suas fontes de pesquisa.</p><p>Obrigado por instalar o Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZR7RIVQD","webpage","","Luciano Malaquias de Souza","6 - 6.pdf","","","","","http://intranet.fainam.edu.br/acesso_site/fia/academos/revista3/6.pdf","","","2017-04-22 23:34:58","2017-04-22 23:35:26","2017-04-22 23:34:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
